Name,MinPrice,MaxPrice
SKYKITCHEN,125,125
Schiller's Manufaktur,99,185
Lamm Rosswag,75,145
Schlossberg,124,172
Wein- und Tafelhaus,125,170
Yoshi by Nagaya,75,148
Der Zauberlehrling,85,140
Falconera,57,107
Kunz,78,125
Erno's Bistro,55,165
Das Maximilians,109,147
Schloss Loersfeld,54,145
Rüssel's Landhaus,110,175
Leos by Stephan Brandl,98,135
Kaupers Restaurant im Kapellenhof,107,125
Nobelhart & Schmutzig,120,145
Le Flair,95,130
Bandol sur mer,85,139
prism,89,165
Frühsammers Restaurant,135,135
Ostseelounge,124,148
Seven Swans,129,129
Jungborn,121,144
Piment,99,155
Schattbuch,85,115
Ich weiß ein Haus am See,110,110
Gourmet-Restaurant Der Butt,149,189
THE IZAKAYA,90,115
360°,36,160
Hupperts,94,119
Aubergine,99,124
Lakeside,155,175
Schwabenstube,62,115
PHOENIX,68,114
Im Schiffchen,122,160
DR.KOSCH,82,110
YOSO,98,112
Bieberbau,64,84
Erbprinz,130,170
Eckert,34,125
Storchen,42,128
Friedrich,99,139
Reuter,97,169
Waidwerk,140,190
Doblers,49,108
Alte Überfahrt,70,100
kochZIMMER in der Gaststätte zur Ratswaage,115,175
TIAN,101,125
sein,40,130
Veles,79,105
JUWEL,140,194
Les Deux,185,185
Gourmetrestaurant Dichter,138,218
Oswald's Gourmetstube,79,155
Tantris DNA,178,178
Gotthardt's,69,149
Stein's Traube,54,120
[KOOK] 36,65,114
Johanns,29,82
Ahlmanns,99,139
faelt,89,89
Genuss-Atelier,55,95
Yunico,99,170
Grammons Restaurant,105,129
Ritzi Gourmet,78,149
Zur Tant,76,98
Schwarzreiter,85,185
halbedel's Gasthaus,85,150
Sparkling Bistro,125,155
Koch und Kellner,90,170
Apicius,99,165
Jellyfish,39,179
Hofstube,114,144
TAWA YAMA FINE,75,119
Le temple,130,165
Admiral,88,140
ZweiSinn Meiers | Fine Dining,120,150
ferment,104,139
Gregor's Fine Dining,119,148
Berens am Kai,79,107
SEO Küchenhandwerk,144,198
Anthony's Kitchen,95,185
der Schneider,88,155
Storstad,49,150
Jean,49,125
Handwerk,85,95
Gasthaus zum Raben,55,122
San Martino - Gourmet,146,182
MAIN TOWER Restaurant & Lounge,98,159
BjörnsOX,129,129
Mountain Hub Gourmet,63,165
Casala,109,145
Entenstuben,79,135
Showroom,130,160
noVa,95,132
Alte Baiz,112,152
Schloss Filseck,26,160
Anima,105,135
Rebers Pflug,70,120
Kesselhaus,88,128
Eisenbahn,75,148
FAVORITE restaurant,55,150
Das Marktrestaurant,76,110
Weinsinn,95,125
Ursprung,110,145
zeit|geist,49,99
Landwerk,79,145
Restaurant Urgestein,120,140
Landhaus Köpp,84,84
DiVa,89,129
Philipp Soldan,59,125
KAI3,98,148
Jan´s Restaurant,58,99
temporaire - Köhlerstube,125,160
Laudensacks Gourmet Restaurant,94,138
Hugos,155,180
Wirtshaus Meyers Keller,75,168
Gourmetrestaurant Berlins Krone,105,155
le Corange,69,149
Gourmetrestaurant Nico Burkhardt,109,158
Orangerie,84,135
Seesteg,54,98
Huberwirt,30,125
Bahia,70,100
ION - The Harbour,65,175
Noni,70,95
De Mondion,70,96
Under Grain,85,105
Chestnut,100,100
House,130,130
dede,95,95
The Oak Room,120,160
Campagne,45,70
Ichigo Ichie,120,135
Lady Helen,99,135
Bastion,100,100
Aniar,110,110
Loam,85,105
Glovers Alley,50,115
Bastible,70,70
Variety Jones,75,75
Wild Honey Inn,85,85
The Neptune,68,85
The Cellar,55,85
Sosban & The Old Butchers,59,145
Lympstone Manor,65,160
The Whitebrook,49,110
Interlude,145,145
Clock House,50,110
Restaurant Tristan,45,105
Tony Parkin at The Tudor Room,55,120
Hjem,120,120
Meadowsweet,95,95
Bridge Arms,55,55
Sorrel,50,105
The Sportsman,65,65
Morston Hall,115,115
White Swan,48,60
Bybrook,110,110
Nut Tree Inn,74,80
Fraiche,58,115
The Royal Oak,55,80
Pipe and Glass,64,64
John's House,34,85
Hambleton Hall,48,89
Thomas Carr 1873,95,95
Rogan & Co,40,60
The Dining Room,175,175
Allium at Askham Hall,95,95
The Peat Inn,65,65
Restaurant Hywel Jones by Lucknam Park,110,110
Dog and Gun Inn,29,55
Latymer,85,130
SY23,95,95
Black Swan,135,150
The Angel,76,98
Pensons,45,75
Fordwich Arms,71,190
hide and fox,58,85
Pea Porridge,75,75
Salt,48,90
Winteringham Fields,75,110
Shaun Rankin at Grantley Hall,70,130
Cottage in the Wood,50,95
Northcote,45,95
Pine,90,90
Elephant,30,85
Bohemia,39,99
Stark,75,75
HRiSHi,75,95
Masons Arms,30,60
Outlaw's Fish Kitchen,80,80
Outlaw's New Road,80,80
Star Inn at Harome,86,95
Walnut Tree,40,60
Forest Side,45,95
alchemilla,85,110
Home,50,90
Loch Bay,120,120
The Woodspeen,34,67
Peel's,110,110
The Barn,25,62
Upstairs by Tom Shepherd,35,77
Artichoke,65,95
Gravetye Manor,60,95
Kitchin,50,170
Martin Wishart,43,110
Beach House,70,95
Olive Tree,40,120
Coworth Park,65,98
mana,155,155
Roots,95,110
Paul Ainsworth at No.6,110,110
Opheem,55,115
Purnell's,45,99
Adam's,45,125
Carters of Moseley,90,130
Simpsons,55,115
House of Tides,85,110
Old Stamp House,55,85
The Man Behind The Curtain,95,145
The Muddlers Club,70,70
Eipic,29,85
OX,35,65
Unalome by Graeme Cheevers,35,90
Cail Bruich,80,115
Hinds Head,86,86
Condita,110,110
The Coach,61,61
The Glenturret Lalique,125,125
Le Champignon Sauvage,42,78
Paco Tapas,60,60
Bulrush,65,70
Casamia,180,180
Osip,54,110
Brat,80,80
Seven Park Place,75,125
Muse,140,140
The Ninth,70,70
Chez Bruce,55,70
Trivet,105,105
Club Gascon,100,150
Harwood Arms,55,55
Kitchen W8,30,85
Mãos,170,170
Benares,32,110
Gymkhana,45,100
Wild Honey St James,35,71
Kol,55,105
Angler,45,120
La Trompette,50,70
Locanda Locatelli,100,100
Sollip,97,97
River Café,85,85
Evelyn's Table,75,75
Endo at The Rotunda,195,195
Dysart Petersham,55,95
Hakkasan Mayfair,78,160
Casa Fofō,49,49
Amaya,29,90
Dining Room at The Goring,78,78
Galvin La Chapelle,43,110
Ritz Restaurant,65,150
Behind,48,78
Veeraswamy,39,85
