,restaurante,puntuacion
477,Nub,"4,3"
478,Haydée,"4,6"
479,Auga,"4,5"
480,Trigo,"4,4"
481,Ricardo Sanz Wellington,"4,6"
482,Ikaro,"4,8"
483,Código de Barra,"4,6"
484,Kaido Sushi Bar,"4,8"
485,Alquimia - Laboratorio,"4,6"
486,Maruja Limón,"4,6"
487,Riff,"4,5"
488,La Prensa,"4,5"
489,La Tasquería,"4,6"
490,Etxeko Ibiza,"4,8"
491,Corral de la Morería Gastronómico,"4,5"
492,Marcos,"4,9"
493,Ugo Chan,"4,7"
494,Casa Gerardo,"4,6"
495,Eirado,"4,6"
496,Quirat,"4,8"
497,El Serbal,"4,5"
498,Real Balneario,"4,4"
499,Casa Marcelo,"4,7"
500,Retiro da Costiña,"4,8"
501,Aleia,"4,6"
502,As Garzas,"4,4"
503,Abantal,"4,6"
504,Hospedería El Batán,"4,7"
505,Ferpel Gastronómico,"4,7"
506,Rodero,"4,7"
507,Alameda,"4,6"
508,Malena,"4,7"
509,Eneko,"4,6"
510,Chirón,"4,6"
511,Europa,"4,6"
512,Ceibe,"4,8"
513,La Salita,"4,7"
514,Silabario,"4,5"
515,Garena,"4,6"
516,Ca l'Enric,"4,7"
517,Cal Paradís,"4,6"
518,L'Antic Molí,"4,6"
519,Yugo,"4,4"
520,La Biblioteca,"4,6"
521,Villa Retiro,"4,6"
522,El Doncel,"4,7"
523,Andra Mari,"4,7"
524,Kiro Sushi,"4,8"
525,Quatre Molins,"4,6"
526,Sollo,"4,5"
527,El Club Allard,"4,5"
528,Terra,"4,9"
529,Erre de Roca,"4,7"
530,El Retiro,"4,6"
531,Aürt,"4,6"
532,Retama,"4,6"
533,Mantúa,"4,8"
534,Beat,"4,7"
535,Audrey's,"4,6"
536,Hisop,"4,5"
537,Baeza & Rufete,"4,5"
538,Es Fum,"4,6"
539,Solana,"4,5"
540,Via Veneto,"4,5"
541,L'Aliança d'Anglès,"4,7"
542,Maca de Castro,"4,6"
543,Fusion19,"4,6"
544,Orobianco,"4,6"
545,Can Bosch,"4,7"
546,Raíces-Carlos Maldonado,"4,8"
547,El Corral del Indianu,"4,7"
548,Mont Bar,"4,5"
549,Lluerna,"4,8"
550,Adrián Quetglas,"4,6"
551,Callizo,"4,7"
552,Zortziko,"4,3"
553,Dama Juana,"4,8"
554,Tabaiba,"4,7"
555,Malak,"4,9"
556,O'Pazo,"4,6"
557,La Costa,"4,6"
558,Elkano,"4,7"
559,Miguel González,"5,0"
560,DINS Santi Taura,"4,7"
561,Kabo,"4,7"
562,Cobo Evolución,"4,7"
563,Pablo,"4,6"
564,Zuara Sushi,"4,7"
565,Massana,"4,7"
566,Ment by Óscar Calleja,"4,1"
567,RavioXO,"4,3"
568,Txispa,"4,4"
569,CEBO,"4,7"
570,Suto,"5,0"
571,Barro,"4,8"
572,Los Guayres,"4,5"
573,Hofmann,"4,6"
574,Oria,"4,6"
575,Boroa,"4,6"
576,Es Tragón,"4,5"
577,Unic,"4,4"
578,Atalaya,"4,6"
579,Versátil,"4,9"
580,Rincón de Diego,"4,7"
581,Caelis,"4,6"
582,Les Magnòlies,"4,5"
583,Nerua Guggenheim Bilbao,"4,3"
584,Koy Shunka,"4,8"
585,Can Jubany,"4,8"
586,Etxanobe Atelier,"4,7"
587,Zarate,"4,5"
588,Ambivium,"4,8"
589,El Ermitaño,"4,6"
590,Enigma,"4,6"
591,Peix & Brases,"4,4"
592,Árbore da Veira,"4,6"
593,Montia,"4,7"
594,Bevir,"4,7"
595,Ola Martín Berasategui,"4,5"
596,Solla,"4,6"
597,Taste 1973,"4,8"
598,Choco,"4,6"
599,Tohqa,"4,2"
600,La Finca,"4,8"
601,La Bicicleta,"4,6"
602,Ajonegro,"4,6"
603,Alejandro Serrano,"4,9"
604,Cocinandos,"4,7"
605,Vandelvira,"4,8"
606,Lera,"4,8"
607,Gaytán,"4,6"
608,COME by Paco Méndez,"4,4"
609,Radis,"4,9"
610,Emporium,"4,3"
611,San-Hô,"4,6"
612,NM,"5,0"
613,Canfranc Express,"4,5"
614,Omakase by Walt,"5,0"
615,Els Tinars,"4,6"
616,La Aquarela,"4,7"
617,Abama Kabuki,"4,5"
618,Arrels,"4,6"
619,Béns d'Avall,"4,6"
620,Marc Fosh,"4,5"
621,Mu•na,"4,7"
622,Dos Palillos,"4,3"
623,Mina,"4,4"
624,Fierro,"4,8"
625,Etxebarri,"4,4"
626,Yayo Daporta,"4,5"
627,Xerta,"4,4"
628,Angle,"4,7"
629,La Gaia,"4,8"
630,Raúl Resino,"4,7"
631,La Boscana,"4,8"
632,Magoga,"4,6"
633,Marqués de Riscal,"3,3"
634,Zaranda,"4,7"
635,Alkimia,"4,5"
636,Alevante,"4,7"
637,Saddle,"4,7"
638,Nublo,"4,6"
639,Slow & Low,"4,6"
640,Gente Rara,"4,7"
641,Casa Bernardi,"4,8"
642,Kokotxa,"4,5"
643,Poemas by Hermanos Padrón,"4,7"
644,Oba-,"4,9"
645,José Carlos García,"4,3"
646,El Invernadero,"4,6"
647,A'Barra,"4,5"
648,Trescha,"4,6"
649,Azafrán,"4,5"
650,Don Julio,"4,5"
651,Brindillas,"4,8"
652,Zonda Cocina de Paisaje,"4,9"
653,Max Cekot Kitchen,"4,8"
654,DC. by Darren Chin,"4,8"
655,Auntie Gaik Lean's Old School Eatery,"4,3"
656,Beta,"4,5"
657,Au Jardin,"4,8"
658,Cheng Long Hang (Huangpu),"4,3"
659,Xin Rong Ji (West Nanjing Road),"5,0"
660,Le Comptoir de Pierre Gagnaire,"5,0"
661,Canton Table,"5,0"
662,Lao Zheng Xing (Huangpu),"3,9"
663,Yi Long Court,"4,6"
664,Fu 1039,"5,0"
665,YongFoo Élite,"4,3"
666,Lei Garden (Xuhui),"3,3"
667,Lu Style (Huangpu),"4,5"
668,Fu 1088,"4,5"
669,Il Bavaglino,"4,4"
670,Nin,"4,9"
671,Dalla Gioconda,"4,5"
672,Ca' Vittoria,"4,6"
673,Cannavacciuolo Bistrot,"4,6"
674,Alpenroyal Gourmet,"4,4"
675,L’Alchimia,"4,4"
676,I Castagni,"4,6"
677,Vintage 1997,"4,4"
678,Zum Löwen,"4,6"
679,Carignano,"4,4"
680,Condividere,"4,8"
681,Magorabin,"4,3"
682,La Primula,"4,6"
683,Al Metrò,"4,7"
684,Arnaldo - Clinica Gastronomica,"4,7"
685,D.One Restaurant,"4,7"
686,Locanda Margon,"4,8"
687,Amistà,"4,7"
688,sui generis.,"4,9"
689,La Coldana,"4,3"
690,Horto,"4,4"
691,Fradis Minoris,"4,3"
692,La Torre,"4,4"
693,La Favellina,"4,7"
694,Josè Restaurant - Tenuta Villa Guerra,"4,7"
695,Il Ristorante di Guido da Costigliole,"4,3"
696,All'Oro,"4,5"
697,Lanterna Verde,"4,7"
698,La Capinera,"4,4"
699,Sadler,"4,6"
700,Guido,"4,7"
701,Abocar Due Cucine,"4,7"
702,Vecchia Malcesine,"4,7"
703,L'Erba del Re,"4,6"
704,Gagini Restaurant,"4,2"
705,Stube Hermitage,"4,7"
706,Relais Blu,"4,7"
707,Indaco,"4,6"
708,Accursio,"4,7"
709,Sarri,"4,6"
710,Signum,"4,3"
711,Il Flauto di Pan,"3,9"
712,Gellius,"4,6"
713,Le Trabe,"4,5"
714,Lido 84,"4,8"
715,Villa Maiella,"4,8"
716,Berton,"4,5"
717,Il Convivio Troiani,"4,6"
718,Nostrano,"4,6"
719,La Pineta,"4,5"
720,Massimo Camia,"4,7"
721,Il Piastrino,"4,7"
722,Aroma,"4,1"
723,Paolo e Barbara,"4,5"
724,Antica Osteria Nonna Rosa,"4,6"
725,La Speranzina Restaurant & Relais,"4,4"
726,Imàgo,"4,6"
727,Re Maurì,"4,5"
728,Osteria Altran,"4,7"
729,Dolce Stil Novo alla Reggia,"4,8"
730,Romano,"4,6"
731,La Tana Gourmet,"4,6"
732,Osteria del Povero Diavolo,"4,7"
733,Maeba Restaurant,"4,7"
734,Contraste,"4,7"
735,Guidoristorante,"4,7"
736,Sissi,"4,6"
737,Bros',"4,2"
738,Il Marin,"4,4"
739,Il Faro di Capo d'Orso - Andrea Aprea,"4,5"
740,Crocifisso,"4,5"
741,Vitantonio Lombardo,"4,7"
742,Lazzaro 1915,"4,7"
743,Prezioso,"4,8"
744,Acquerello,"4,7"
745,Zappatori,"4,6"
746,Cannavacciuolo Cafè & Bistrot,"4,1"
747,Joia,"4,6"
748,La Serra,"4,8"
749,Borgo San Jacopo,"4,5"
750,Ada,"4,8"
751,Vite,"4,7"
752,Votavota,"4,4"
753,Quintessenza,"4,8"
754,President,"4,5"
755,Cracco in Galleria,"3,8"
756,Sedicesimo Secolo,"4,7"
757,Lorenzo,"4,7"
758,Anna Stuben,"4,6"
759,Somu,"4,0"
760,I Tenerumi,"4,3"
761,Famiglia Rana,"4,6"
762,Casa Sgarra,"4,9"
763,Retroscena,"4,7"
764,Vignamare,"4,9"
765,Atto di Vito Mollica,"4,8"
766,Mammà,"4,1"
767,Vitium,"4,6"
768,L'Arcade,"4,4"
769,Abbruzzino,"4,7"
770,Il Desco,"4,8"
771,Essenza,"4,8"
772,Un Piano nel Cielo,"4,4"
773,Iacobucci,"4,7"
774,La Rucola 2.0,"4,6"
775,Borgo Sant'Anna,"4,8"
776,Osteria del Viandante,"4,7"
777,Impronte,"4,4"
778,Zia,"4,7"
779,Bianca sul Lago by Emanuele Petrosino,"4,8"
780,21.9,"4,6"
781,Impronta d'Acqua,"4,8"
782,Porta di Basso,"4,4"
783,Il Cappero,"4,6"
784,Viva Viviana Varese,"4,5"
785,Saporium Firenze,"4,5"
786,La Sala dei Grappoli,"4,7"
787,Il Patio,"4,7"
788,Tilia,"4,8"
789,Contaminazioni Restaurant,"4,8"
790,Gucci Osteria da Massimo Bottura,"4,3"
791,Inkiostro,"4,5"
792,Capriccio,"4,5"
793,Il Comandante,"4,2"
794,Sud,"4,4"
795,Veritas,"4,5"
796,Shalai,"4,6"
797,L'Argine a Vencò,"4,6"
798,Cannavacciuolo Countryside,"4,6"
799,Vescovado,"4,4"
800,Wistèria,"4,7"
801,The Cook,"4,2"
802,Trattoria contemporanea,"4,6"
803,Osteria Acquarol,"4,6"
804,Matteo Grandi,"4,1"
805,Lorelei,"4,5"
806,Lino,"4,6"
807,Sintesi,"4,9"
808,Casa Mazzucchelli,"4,5"
809,Osteria di Passignano,"4,6"
810,Bolle,"4,7"
811,Taverna del Capitano,"4,4"
812,I Portici,"4,3"
813,Osteria della Brughiera,"4,6"
814,Del Cambio,"4,4"
815,San Martino,"4,7"
816,Il Buco,"4,6"
817,Terrazza Bosquet,"4,5"
818,Suinsom,"4,9"
819,Castello di Fighine,"4,7"
820,Marco Martini Restaurant,"4,3"
821,Venissa,"4,4"
822,La Credenza,"4,7"
823,La Locanda del Borgo,"4,7"
824,La Ciau del Tornavento,"4,6"
825,Glass Hostaria,"4,4"
826,Locanda Tamerici,"4,3"
827,Umberto De Martino,"5,0"
828,Laite,"4,8"
829,Casamatta,"4,5"
830,Oasis - Sapori Antichi,"4,8"
831,Malga Panna,"4,7"
832,Tantris,"4,5"
833,La Tavola,"4,2"
834,Dolada,"4,7"
835,Il Pellicano,"4,5"
836,Il Luogo Aimo e Nadia,"4,5"
837,Giglio,"4,5"
838,Pipero Roma,"4,5"
839,Primo Restaurant,"4,5"
840,La Tortuga,"4,9"
841,Bracali,"4,5"
842,Il Gallo Cedrone,"4,6"
843,Zass,"4,7"
844,Vespasia,"4,8"
845,Johannesstube,"4,8"
846,Otto Geleng,"4,7"
847,1908,"4,7"
848,Paca,"4,8"
849,Lunasia,"4,6"
850,Villa Elena,"4,7"
851,La Stüa de Michil,"4,7"
