,restaurante,puntuacion
1674,Seesteg,"4,9"
1675,VILLINO,"4,8"
1676,La Vallée Verte,"5,0"
1677,Laudensacks Gourmet Restaurant,"4,8"
1678,Ratsstuben,"4,8"
1679,Landhaus Scherrer,"4,6"
1680,BOK Restaurant Brust oder Keule,"4,6"
1681,Weinstock,"4,7"
1682,Adler,"4,7"
1683,maiBeck,"4,5"
1684,Gabelspiel,"4,7"
1685,Clostermanns Le Gourmet,"4,4"
1686,Entenstuben,"4,7"
1687,Keidenzeller Hof,"4,8"
1688,Acquarello,"4,6"
1689,Weinschänke Schloss Groenesteyn,"4,7"
1690,Malathounis,"4,5"
1691,Camers Schlossrestaurant,"4,8"
1692,Laurentius,"4,4"
1693,Zeitwerk,"4,8"
1694,Dobler's,"4,8"
1695,bi:braud,"4,8"
1696,Atelier Sanssouci,"4,5"
1697,Falconera,"4,8"
1698,Waidwerk,"4,7"
1699,Frieda,"4,8"
1700,360°,"4,6"
1701,Sparkling Bistro,"4,5"
1702,Sahila - The Restaurant,"4,8"
1703,taku,"4,1"
1704,Storchen,"4,6"
1705,Ich weiß ein Haus am See,"4,8"
1706,Leos by Stephan Brandl,"4,9"
1707,Schloss Loersfeld,"4,6"
1708,JUWEL,"4,7"
1709,Jellyfish,"4,6"
1710,Oben,"5,0"
1711,Mühlenhelle,"4,7"
1712,Apicius,"4,6"
1713,NeoBiota,"4,5"
1714,Alfredo,"4,5"
1715,Cheval Blanc,"5,0"
1716,Piment,"4,5"
1717,Masa Japanese Cuisine,"4,9"
1718,Das garbo im Löwen,"4,7"
1719,Sterneck,"4,5"
1720,Ursprung,"4,5"
1721,Tisane,"5,0"
1722,Ente,"4,6"
1723,Maerz - Das Restaurant,"4,9"
1724,Hugos,"4,6"
1725,haebel,"4,5"
1726,Zeik,"4,9"
1727,Handwerk,"4,7"
1728,Maltes hidden kitchen,"4,8"
1729,Schwarzer Hahn,"4,6"
1730,Gasthof Krone,"4,7"
1731,5,"4,5"
1732,BjörnsOx,"5,0"
1733,Friedrich Franz,"4,7"
1734,Das Grace,"4,8"
1735,MARKOS,"4,6"
1736,Bonvivant,"4,6"
1737,Spitzner,"4,8"
1738,Kulmeck by Tom Wickboldt,"4,8"
1739,PAVO,"4,8"
1740,SEO Küchenhandwerk,"4,8"
1741,mural,"4,5"
1742,Friedrich,"4,4"
1743,Die Brasserie,"4,7"
1744,tulus lotrek,"4,8"
1745,halbedel's Gasthaus,"4,7"
1746,SKYKITCHEN,"4,7"
1747,Intense,"4,7"
1748,Shiraz,"4,8"
1749,Bricole,"4,8"
1750,Alte Liebe,"4,7"
1751,faelt,"4,7"
1752,Johanns,"4,8"
1753,Ostseelounge,"4,8"
1754,Speiseberg,"4,7"
1755,ROTER HAHN by Maximilian Schmidt,"4,8"
1756,Nobelhart & Schmutzig,"3,8"
1757,OX,"4,8"
1758,PUR,"4,6"
1759,Jan Diekjobst Restaurant,"4,8"
1760,Traube,"4,7"
1761,Werneckhof Sigi Schelling,"4,8"
1762,Mod by Sven Nöthel,"4,9"
1763,Troyka,"4,8"
1764,Mountain Hub Gourmet,"4,8"
1765,maximilian lorenz,"4,5"
1766,Werners Restaurant,"4,4"
1767,Taku,"4,2"
1768,Cycene,"4,8"
1769,St. Barts,"4,7"
1770,SOURCE at Gilpin Hotel,"4,6"
1771,Endo at The Rotunda,"4,9"
1772,Terre,"4,8"
1773,Wild Honey St James,"4,4"
1774,Beach House,"4,7"
1775,Sosban & The Old Butchers,"4,7"
1776,Jamavar,"4,3"
1777,Restaurant Hywel Jones by Lucknam Park,"4,3"
1778,Cottage in the Wood,"4,8"
1779,Star Inn at Harome,"4,7"
1780,Paul Ainsworth at No.6,"4,8"
1781,Paco Tapas,"4,5"
1782,Hambleton Hall,"4,8"
1783,The Tudor Pass,"4,7"
1784,Winteringham Fields,"4,7"
1785,The Cross,"4,7"
1786,The Coach,"4,5"
1787,Purnell's,"4,7"
1788,Quilon,"4,4"
1789,Restaurant Twenty-Two,"4,8"
1790,Galvin La Chapelle,"4,6"
1791,Hinds Head,"4,6"
1792,Outlaw's New Road,"4,7"
1793,Trishna,"4,5"
1794,hide and fox,"4,9"
1795,Simpsons,"4,7"
1796,Bohemia,"4,5"
1797,Black Swan,"4,8"
1798,alchemilla,"4,6"
1799,Forest Side,"4,7"
1800,Lympstone Manor,"4,7"
1801,Cail Bruich,"4,8"
1802,Sorrel,"4,8"
1803,Harwood Arms,"4,6"
1804,Elephant,"4,7"
1805,Gidleigh Park,"4,8"
1806,Frog by Adam Handling,"4,6"
1807,The Barn,"4,7"
1808,Masons Arms,"4,8"
1809,Outlaw's Fish Kitchen,"4,8"
1810,White Swan,"4,8"
1811,Gymkhana,"4,5"
1812,Salt,"4,5"
1813,Rogan & Co,"4,8"
1814,The Sportsman,"4,6"
1815,House of Tides,"4,7"
1816,The Glenturret Lalique,"4,9"
1817,Hakkasan Mayfair,"4,3"
1818,Umu,"4,2"
1819,Upstairs by Tom Shepherd,"4,9"
1820,Gravetye Manor,"4,8"
1821,Dog and Gun Inn,"4,7"
1822,Bybrook,"4,5"
1823,Woven by Adam Smith,"4,7"
1824,The Dining Room,"4,8"
1825,Pea Porridge,"4,5"
1826,Fordwich Arms,"4,6"
1827,The Neptune,"4,8"
1828,Artichoke,"4,6"
1829,Pétrus by Gordon Ramsay,"4,6"
1830,The Samling,"4,7"
1831,Unalome by Graeme Cheevers,"4,7"
1832,Sollip,"4,6"
1833,Nut Tree Inn,"4,8"
1834,Opheem,"4,7"
1835,Adam's,"4,8"
1836,The Peat Inn,"4,8"
1837,The Cellar,"4,9"
1838,Heron,"4,8"
1839,River Café,"4,3"
1840,Bastible,"4,6"
1841,Northcote,"4,7"
1842,Home,"4,9"
1843,Portland,"4,6"
1844,Locanda Locatelli,"4,3"
1845,Barrafina,"4,5"
1846,Allium at Askham Hall,"4,7"
1847,Pipe and Glass,"4,8"
1848,Stark,"4,8"
1849,Bulrush,"4,8"
1850,Sabor,"4,6"
1851,Àclèaf,"4,8"
1852,Meadowsweet,"5,0"
1853,Le Champignon Sauvage,"4,6"
1854,Glovers Alley,"4,6"
1855,Shaun Rankin at Grantley Hall,"4,7"
1856,Veeraswamy,"4,3"
1857,heft,"4,8"
1858,Osip,"4,8"
1859,John's House,"4,8"
1860,Latymer,"4,6"
1861,Grace & Savour,"4,8"
1862,Evelyn's Table,"4,8"
1863,Variety Jones,"4,7"
1864,Hjem,"4,8"
1865,SOLSTICE BY KENNY ATKINSON,"4,9"
1866,Dining Room at The Goring,"4,5"
1867,Lady Helen,"4,6"
1868,Roots,"4,7"
1869,OX,"4,7"
1870,Trivet,"4,6"
1871,Aniar,"4,7"
1872,The Muddlers Club,"4,8"
1873,Walnut Tree,"4,7"
1874,Lyle's,"4,5"
1875,Pollen Street Social,"4,6"
1876,The Angel,"4,6"
1877,Leroy,"4,4"
1878,Five Fields,"4,7"
1879,Hakkasan Hanway Place,"4,3"
1880,The Ninth,"4,5"
1881,Brat,"4,5"
1882,Pine,"5,0"
1883,Wild Honey Inn,"4,6"
1884,Bastion,"4,8"
1885,Condita,"4,8"
1886,The Kitchin,"4,8"
1887,Pentonbridge Inn,"4,7"
1888,Campagne,"4,7"
1889,Chestnut,"4,9"
1890,The Oak Room,"4,6"
1891,Martin Wishart,"4,7"
1892,City Social,"4,4"
1893,mana,"4,7"
1894,Club Gascon,"4,5"
1895,Pied à Terre,"4,4"
1896,Interlude,"4,7"
1897,Loch Bay,"4,8"
1898,Timberyard,"4,6"
1899,Olive Tree,"4,5"
1900,Old Stamp House,"4,8"
1901,Chez Bruce,"4,8"
1902,KOL,"4,4"
1903,La Trompette,"4,7"
1904,Luca,"4,5"
1905,The Whitebrook,"4,8"
1906,Dysart Petersham,"4,6"
1907,St. JOHN,"4,5"
1908,Kitchen W8,"4,5"
1909,Behind,"4,8"
1910,Casa Fofō,"4,7"
1911,HIDE,"4,5"
1912,Angler,"4,6"
1913,Amaya,"4,3"
1914,sō–lō,"4,8"
1915,The Royal Oak,"4,7"
1916,Le Roannay,"4,3"
1917,Marcus,"4,7"
1918,Hert,"4,7"
1919,Bar Bulot,"4,5"
1920,La Table Benjamin Laborie,"4,8"
1921,La Grappe d'Or,"4,6"
1922,Nebo,"4,7"
1923,Les Pieds dans le Plat,"4,7"
1924,l'Essentiel,"4,8"
1925,La Table de Manon,"4,7"
1926,Chai Gourmand,"4,7"
1927,Le Pré des Oréades,"4,5"
1928,Fine Fleur,"4,7"
1929,Willem Hiele,"4,8"
1930,Barge,"4,8"
1931,La Grange d'Hamois,"4,5"
1932,Misera,"4,7"
1933,¡Toma!,"4,9"
1934,Mosconi,"4,4"
1935,Sensum,"4,7"
1936,Sense,"4,6"
1937,EssenCiel,"4,7"
1938,Tinèlle,"4,6"
1939,Ryôdô,"4,7"
1940,Hostellerie St-Nicolas,"4,8"
1941,Maison Alain Bianchin,"4,7"
1942,Hostellerie Vivendum,"4,6"
1943,Arenberg,"4,7"
1944,Guillou Campagne,"4,7"
1945,Aurum by Gary Kirchens,"5,0"
1946,Arden,"4,4"
1947,Da Mimmo,"4,5"
1948,Couvert Couvert,"4,6"
1949,Kommilfoo,"3,6"
1950,Héliport Brasserie,"4,4"
1951,Maison Marit,"4,7"
1952,Boo Raan,"4,6"
1953,Comme chez Soi,"4,6"
1954,Benoit en Bernard Dewitte,"4,8"
1955,Philippe Fauchet,"4,6"
1956,Ogst,"4,6"
1957,De Zuidkant,"4,8"
1958,Le Pilori,"4,7"
1959,'t Fornuis,"4,6"
1960,M Bistro,"4,8"
1961,Eden Rose,"4,6"
1962,Le Coq aux Champs,"4,7"
1963,Goffin,"4,7"
1964,Magis,"4,6"
1965,Michel,"4,5"
1966,Le Grand Verre,"4,6"
1967,Le Vieux Château,"4,8"
1968,Léa Linster,"4,7"
1969,Le Gastronome,"4,8"
1970,Lettres Gourmandes,"4,7"
1971,Innesto,"4,8"
1972,La Villa de Camille et Julien,"4,6"
1973,Le Comptoir de Marie,"4,3"
1974,Au Gré du Vent,"4,8"
1975,Hostellerie Le Fox,"4,6"
1976,Fani,"4,7"
1977,Table d'Amis,"4,6"
1978,Quai n°4,"4,9"
1979,La Canne en Ville,"4,4"
1980,'t Overhamme,"4,5"
1981,Sel Gris,"4,7"
1982,De Mijlpaal,"4,7"
1983,Het Gebaar,"4,7"
1984,L'Envie,"4,7"
1985,Le Cor de Chasse,"4,6"
1986,Hofke van Bazel,"4,6"
1987,Arabelle Meirlaen,"4,8"
1988,Zur Post,"4,7"
1989,Bistrot du Nord,"4,8"
1990,Le Pristine,"4,5"
1991,senzanome,"4,2"
1992,Le Pigeon Noir,"4,6"
1993,Hof Ter Hulst,"4,7"
1994,Fleur de Lin,"4,7"
1995,'t Stoveke,"4,7"
1996,Humus x Hortense,"4,4"
1997,OAK,"4,8"
1998,Zet'Joe by Geert Van Hecke,"4,8"
1999,Aux petits oignons,"4,6"
2000,La Villa in the Sky,"4,6"
2001,'t Korennaer,"4,7"
2002,Les Gourmands,"4,6"
2003,De Kristalijn,"4,7"
2004,De Pastorie,"4,8"
2005,Sans Cravate,"3,8"
2006,Brasserie Julie,"4,6"
2007,De Bakermat,"4,8"
2008,Nathan,"4,7"
2009,JER,"4,5"
2010,Kelderman,"4,7"
2011,La Belle,"4,6"
2012,Philippe Meyers,"4,6"
2013,Bistro Racine,"4,7"
2014,Sir Kwinten,"4,7"
2015,Publiek,"4,7"
2016,"Cuines,33","4,7"
2017,Horseele,"4,7"
2018,Omar Dhiab,"4,9"
2019,Pure & V,"4,1"
2020,L’Épicurien - Abbaye de Villeneuve,"5,0"
2021,Ōrtensia,"4,8"
2022,Les Cadets,"4,9"
2023,Le Pavillon - Hôtel Westminster,"4,6"
2024,La Dame de Pic - Le 1920,"4,7"
2025,La Mare aux Oiseaux,"4,6"
2026,Couleurs de Shimatani,"4,9"
2027,Maison Ruggieri,"5,0"
2028,Ochre,"4,6"
2029,L'Empreinte,"4,7"
2030,Mallory Gabsi,"4,8"
2031,Le Clocher des Pères,"4,8"
2032,L'Auberge de Saint-Rémy - Fanny Rey & Jonathan Wahid,"4,6"
2033,Le Kaïku,"4,7"
2034,Les Cèdres,"4,9"
2035,Le Saint Placide,"4,7"
2036,Bellefeuille - Saint James Paris,"4,6"
2037,L'Archeste,"4,7"
2038,La Scène Thélème,"4,6"
2039,Le Passe Temps,"4,7"
2040,Pierre,"4,6"
2041,L'Odas,"4,5"
2042,Grand Hôtel du Lion d'Or,"4,3"
2043,Les Tables de Gaspard,"4,8"
2044,Le Grand Cerf,"4,6"
2045,Ima,"4,8"
2046,La Table du Gourmet,"4,5"
2047,Rouge,"4,6"
2048,La Table des Pères - Domaine du Château des Pères,"4,7"
2049,Villa9Trois,"4,5"
2050,Stéphane Tournié - Les Jardins de l'Opéra,"4,2"
2051,Le Fantin Latour - Stéphane Froidevaux,"4,6"
2052,Maison Medard,"4,9"
2053,Clos du Cèdre,"4,5"
2054,Briketenia,"4,7"
2055,Le Mas Bottero,"4,6"
2056,Le Moulin de la Gorce,"4,7"
2057,La Table du 11,"4,7"
2058,Le Verbois,"4,6"
2059,L'Axel,"4,5"
2060,La Table de Patrick Raingeard,"4,9"
2061,La Marande,"4,8"
2062,Le Panoramique - Domaine de la Corniche,"4,6"
2063,L'Hysope,"4,7"
2064,Le Sérac,"4,7"
2065,Les Trois Soleils de Montal,"4,7"
2066,L'Arcane,"4,7"
2067,Maison Ronan Kervarrec,"4,7"
2068,Astrance,"4,5"
2069,Le Bon Accueil,"4,4"
2070,Le Village Tomohiro,"4,5"
2071,Auberge du Pont d'Acigné,"4,8"
2072,Le Quincangrogne,"4,4"
2073,Restaurant Pierre Grein,"4,7"
2074,L'Or Q'idée,"4,8"
2075,Albert 1er,"4,6"
2076,Le 1862 - Les Glycines,"4,6"
2077,Auberge de la Mine,"4,6"
2078,Le Hittau,"4,6"
2079,Le Gindreau,"4,8"
2080,Logis de la Cadène,"4,7"
2081,Frédéric Simonin,"4,6"
2082,L'Escarbille,"4,7"
2083,Le Gourmet de Sèze,"4,7"
2084,Jérémy Galvan,"4,7"
2085,L'Auberge de Bagatelle,"4,6"
2086,Au 14 Février,"4,8"
2087,La Table d'Hôtes - La Rôtisserie du Chambertin,"4,4"
2088,La Licorne Royale,"4,2"
2089,Maison Ruffet - Villa Navarre,"4,1"
2090,Aux Pesked,"4,5"
2091,La Table de la Bergerie,"4,6"
2092,Têtedoie,"4,3"
2093,Château du Mont Joly,"4,8"
2094,Ô Flaveurs,"4,5"
2095,La Chaumière,"4,5"
2096,Baumanière 1850,"4,7"
2097,La Rotonde des Trésoms,"4,4"
2098,À Contre Sens,"4,8"
2099,Jean-Marc Pérochon,"4,6"
2100,Maison Tiegezh,"4,6"
2101,La Grande Cascade,"4,6"
2102,Auberge À la Bonne Idée,"4,5"
2103,L'Essentiel,"4,6"
2104,Maximin Hellio,"4,3"
2105,Le Prieuré,"4,3"
2106,Le Saint-Estève,"4,6"
2107,Les Genêts,"4,7"
2108,Nicolas Carro - Hôtel de Carantec,"4,8"
2109,Nomicos,"4,6"
2110,Neige d'Été,"4,6"
2111,Le Chiberta,"4,3"
2112,Sushi B,"4,7"
2113,Le Baudelaire,"4,6"
2114,Shang Palace,"4,5"
2115,Saisons,"4,8"
2116,Le Lièvre Gourmand,"4,6"
2117,L'O des Vignes,"4,7"
2118,Château Eza,"4,7"
2119,Toya,"4,8"
2120,Pages,"4,8"
2121,Le Chiquito,"4,8"
2122,Racines,"4,7"
2123,Prairial,"4,7"
2124,Le Jardin des Plumes,"4,5"
2125,La Petite Maison de Cucuron,"4,7"
2126,Le Pourquoi Pas,"4,6"
2127,Le Figuier de Saint-Esprit,"4,5"
2128,La Closerie,"4,7"
2129,Il Cortile,"4,6"
2130,Côté Jardin,"4,8"
2131,Les Ducs de Lorraine,"4,7"
2132,La Palmeraie - Château de Valmer,"4,6"
2133,Louroc - Hôtel du Cap-Eden-Roc,"4,6"
2134,Le Relais des Moines,"4,7"
2135,Le Belvédère,"4,6"
2136,L'Aparté,"4,9"
2137,Le Donjon - Domaine Saint-Clair,"4,5"
2138,Auberge Le Prieuré,"4,8"
2139,Restaurant Julien Binz,"4,8"
2140,Les Terrasses de Lyon,"4,4"
2141,Fontevraud Le Restaurant,"4,6"
2142,La Table de la Mainaz,"4,2"
2143,Auberge de la Brie,"4,9"
2144,Origine,"4,8"
2145,Ithurria,"4,7"
2146,Le Moulin de l'Abbaye,"4,4"
2147,Ô Saveurs,"4,4"
2148,Umami,"4,7"
2149,Atmosphères,"4,7"
2150,Le Farçon,"4,6"
2151,Le P'tit Polyte,"4,8"
2152,Nakatani,"4,6"
2153,Au Gourmet,"4,5"
2154,La Chassagnette,"4,7"
2155,Le Haut-Allier,"4,7"
2156,La Barbacane,"4,7"
2157,Ivan Vautier,"4,6"
2158,Septime,"4,4"
2159,Pur' - Jean-François Rouquette,"4,7"
2160,L'Arôme,"4,8"
2161,Le Clair de la Plume,"4,6"
2162,Les Fresques - Hôtel Royal,"4,9"
2163,Auberge du Cep,"4,6"
2164,Château de Courban,"4,5"
2165,Loiseau des Ducs,"4,6"
2166,La Table Breizh Café,"4,8"
2167,Auberge de l'Abbaye,"4,5"
2168,Le Puits du Trésor,"4,4"
2169,Le Duèze - Château de Mercuès,"4,6"
2170,Côté Cuisine,"4,7"
2171,La Condesa,"4,7"
2172,Comice,"4,6"
2173,Qui Plume la Lune,"4,7"
2174,Helen,"4,5"
2175,Lucas Carton,"4,5"
2176,Les Voiles d'Or,"4,7"
2177,Le Colombier,"4,8"
2178,Auberge de la Charme,"4,7"
2179,Château de Pray,"4,6"
2180,Le Goût du Bonheur - La Fenière,"3,0"
2181,L'Esquisse,"4,7"
2182,Pierre Reboul,"4,5"
2183,Apicius,"4,4"
2184,Restaurant H,"4,7"
2185,La Table d'Olivier,"4,8"
2186,L'Émulsion,"4,5"
2187,ASPIC,"4,8"
2188,Ze Kitchen Galerie,"4,7"
2189,Alan Geaam,"4,8"
2190,Relais Louis XIII,"4,4"
2191,Yoshinori,"4,6"
2192,Armani Ristorante,"4,3"
2193,Le Jardin de Berne,"4,4"
2194,La Table - Hôtel Clarance,"4,6"
2195,Au 14 Février,"4,9"
2196,Le Grand Cap,"4,7"
2197,L'Atelier Yssoirien,"4,8"
2198,La Passagère - Hôtel Belles Rives,"4,2"
2199,Hostellerie la Montagne,"4,5"
2200,Alain Llorca,"4,6"
2201,La Bonne Étape,"4,6"
2202,G.a. au Manoir de Rétival,"4,8"
2203,Le Valucien - Château de Vault-de-Lugny,"4,6"
2204,Le Saint-James,"4,6"
2205,L'Oiseau Bleu,"4,7"
2206,Le Violon d'Ingres,"4,5"
2207,Le Val d'Auge,"4,6"
2208,Alchémille,"4,8"
2209,La Table de Nans,"4,6"
2210,Hostellerie de la Pointe Saint-Mathieu,"4,4"
2211,Le Patio,"4,6"
2212,La Table d'Hôtes - Le Quatrième Mur,"4,4"
2213,Granit - La Mécanique des Frères Bonano,"4,8"
2214,La Balette,"4,7"
2215,Assa,"4,9"
2216,L'Aupiho - Domaine de Manville,"4,8"
2217,Lamartine,"4,8"
2218,Quinsou,"4,4"
2219,Pertinence,"4,8"
2220,Benoit,"4,2"
2221,La Dame de Pic,"4,5"
2222,L'Écrin,"4,8"
2223,"114, Faubourg","4,7"
2224,ERH,"4,7"
2225,L'Atelier de Joël Robuchon - Étoile,"4,3"
2226,Le Jules Verne,"4,4"
2227,Chez Michèle,"4,7"
2228,Le Vivier,"4,7"
2229,Château Blanchard,"4,7"
2230,Frédéric Doucet,"4,8"
2231,Tentazioni,"4,8"
2232,Tour d'Argent,"4,4"
2233,Jin,"4,2"
2234,La Ribaudière,"4,5"
2235,Maison Claude Darroze,"4,7"
2236,Apicius,"4,7"
2237,Hostellerie de l'Abbaye de la Celle,"4,6"
2238,La Table de Xavier Mathieu,"4,6"
2239,La Table de Chaintré,"4,6"
2240,L'Atelier du Peintre,"4,5"
2241,Le Carré d'Alethius,"4,6"
2242,Les Oliviers,"4,4"
2243,Yam'Tcha,"4,6"
2244,L'Anthocyane,"4,8"
2245,Restaurant Girardin,"4,7"
2246,L'Impertinent,"4,6"
2247,Les Rosiers,"4,7"
2248,Auberge des Templiers,"4,4"
2249,Auberge Pom'Poire,"4,8"
2250,La Table de L'Incomparable,"4,1"
2251,La Table d'Asten,"4,3"
2252,L'Abissiou,"4,8"
2253,Rosmadec Le Moulin,"4,6"
2254,L'Atelier de Joël Robuchon - St-Germain,"4,3"
2255,Bruno,"4,8"
2256,La Chapelle Saint-Martin,"4,5"
2257,Auberge Frankenbourg,"4,8"
2258,La Vieille Tour,"4,9"
2259,Le Pont de l'Ouysse,"4,6"
2260,La Table du Boisniard,"4,8"
2261,Château de la Treyne,"4,8"
2262,L'Orée de la Forêt,"4,9"
2263,Jérôme Feck,"4,8"
2264,Guy Lassausaie,"4,8"
2265,Radio,"4,6"
2266,Le Pily,"4,8"
2267,L'Arnsbourg,"4,8"
2268,Le Prince Noir - Vivien Durand,"4,6"
2269,AT,"4,6"
2270,Jean-Claude Leclerc,"4,7"
2271,L'Ostal,"4,8"
2272,La Table des Frères Ibarboure,"4,8"
2273,La Vieille Fontaine,"4,1"
2274,La Bastide,"4,8"
2275,Moulin d'Alotz,"4,8"
2276,Pantagruel,"4,8"
2277,Le Grill,"4,7"
2278,L'Embrun,"4,8"
2279,Automne,"4,7"
2280,L'Observatoire du Gabriel,"4,4"
2281,Sources,"4,6"
2282,CIBO,"4,9"
2283,La Flibuste,"4,8"
2284,Don Juan II,"4,7"
2285,Virtus,"4,8"
2286,Le Pavillon des Boulevards,"4,7"
2287,Maison Desamy,"4,9"
2288,Château d'Adoménil,"4,8"
2289,La Table de Castigno,"4,7"
2290,Il Carpaccio,"4,4"
2291,Le Relais de la Poste,"4,6"
2292,Yoshi,"4,5"
2293,L'Opidom,"4,7"
2294,Les Funambules,"4,7"
2295,La Maison de Pierre,"4,8"
2296,La Table de l'Ours,"4,7"
2297,Michel Trama,"3,9"
2298,L'Évidence,"4,7"
2299,La Source,"4,5"
2300,Le 1825 - La Table,"4,7"
2301,L'Orchidée,"4,7"
2302,Likoké,"4,7"
2303,Vincent Favre Félix,"4,7"
2304,Le Vieux Logis,"4,7"
2305,Pollen,"4,8"
2306,Maison Caillet,"4,8"
2307,La Tête en l'air,"4,9"
2308,Le Foch,"4,5"
2309,Maison Chenet - Entre Vigne et Garrigue,"4,7"
2310,Oxte,"4,6"
2311,Auberge Saint-Walfrid,"4,7"
2312,Les Terraillers,"4,6"
2313,Le Mascaret,"4,4"
2314,Villa Pinewood,"4,9"
2315,Lait Thym Sel,"4,8"
2316,Pureté,"4,8"
2317,"Pavyllon, un restaurant de Yannick Alléno, Monte-Carlo","4,6"
2318,Guillaume Scheer - Les Plaisirs Gourmands,"4,7"
2319,La Table Mirasol,"4,6"
2320,Le Grand Contrôle,"4,2"
2321,Hélène Darroze à Villa La Coste,"4,5"
2322,Jardin des Sens,"4,8"
2323,L'Alter-Native,"4,8"
2324,Les Agitateurs,"4,7"
2325,La Dune du Château de Sable,"4,8"
2326,Le Pressoir,"4,7"
2327,Baieta,"4,4"
2328,Substance,"4,4"
2329,Les Chemins - Domaine de Primard,"5,0"
2330,Contraste,"4,6"
2331,Le Saint-Martin,"4,7"
2332,Les Foudres,"4,1"
2333,L'Ours,"4,8"
2334,Flaveurs,"4,6"
2335,Kasbür,"4,8"
2336,Maison Decoret,"4,7"
2337,La Madeleine,"4,7"
2338,Numéro 3,"4,7"
2339,Le Raisin,"4,7"
2340,Manoir de Lan-Kerellec,"4,7"
2341,Fleur de Pavé,"4,7"
2342,L'Essentiel,"4,7"
2343,Gordon Ramsay au Trianon,"4,5"
2344,Arbore & Sens,"4,9"
2345,La Table d'Antonio Salvatore au Rampoldi,"4,8"
2346,Le Favori - Les Sources de Cheverny,"4,9"
2347,Auberge de Montfleury,"4,7"
2348,Ceto,"4,6"
2349,Le Refuge des Gourmets,"4,7"
2350,Nature,"4,7"
2351,Dan B.,"4,8"
2352,La Cachette,"4,6"
2353,Récif,"4,3"
2354,Frédéric Molina au Moulin de Léré,"4,7"
2355,Les Belles Perdrix de Troplong Mondot,"4,9"
2356,Jean Imbert au Plaza Athénée,"4,2"
2357,Le Georges,"4,7"
2358,NESO,"4,2"
2359,La Table d'à Côté,"4,8"
2360,Gaya par Pierre Gagnaire,"4,6"
2361,La Table d'Uzès,"4,7"
2362,Avel Vor,"4,5"
2363,Allium,"4,7"
2364,Auberge du Pont,"4,7"
2365,Divellec,"4,4"
2366,Trente-Trois,"4,6"
2367,La Table de La Butte,"4,6"
2368,Tomy & Co,"4,7"
2369,Villa de l'Étang Blanc,"4,7"
2370,Akrame,"4,5"
2371,Miraflores,"4,6"
2372,Aida,"4,5"
2373,Thierry Schwartz - Le Restaurant,"4,3"
2374,La Magdeleine - Mathias Dandine,"4,3"
2375,Villa Salone,"4,8"
2376,La Promenade,"4,6"
2377,Les Hauts de Loire,"4,7"
2378,L'Éveil des Sens,"4,9"
2379,La Table de l'Alpaga,"4,6"
2380,Le Faham by Kelly Rangama,"4,7"
2381,Jean-Luc Tartarin,"4,7"
2382,Reflet d'Obione,"4,8"
2383,Colette,"4,5"
2384,MoSuke,"4,8"
2385,L'Arrivage,"4,8"
2386,LuluRouget,"4,7"
2387,Leclère,"4,8"
2388,Faventia,"4,6"
2389,Les Reflets,"4,9"
2390,Le Kléber - La Maison Bonnet,"4,4"
2391,Lasserre,"4,5"
2392,Rustique,"4,9"
2393,Auberge du Vert Mont,"4,7"
2394,Choko Ona,"4,9"
2395,En Marge,"4,7"
2396,Shabour,"4,7"
2397,La Huchette,"4,7"
2398,Quai des Saveurs,"4,4"
2399,Anona,"4,7"
2400,Maison Hache,"4,7"
2401,JAN,"4,8"
2402,L'Aromate,"4,3"
2403,Le Manoir de la Régate,"4,7"
2404,L'Atlantide 1874 - Maison Guého,"4,7"
2405,Restaurant De Lauzun,"4,9"
2406,Ekaitza,"4,9"
2407,Vieux Pont,"4,8"
2408,Le Restaurant des Rois - La Réserve de Beaulieu,"4,5"
2409,Le Chantecler,"4,6"
2410,La Réserve Rimbaud,"4,7"
2411,Les Sources de Fontbelle,"4,5"
2412,L'Arbre au Soleil,"4,5"
2413,Skab,"4,7"
2414,Domaine du Colombier,"4,6"
2415,La Bastide de Moustiers,"4,7"
2416,La Nouvelle Auberge,"4,7"
2417,La Robe,"4,7"
2418,Les Clefs d'Argent,"4,6"
2419,Hedone,"4,8"
2420,Le Royal,"4,7"
2421,Aux Terrasses,"4,7"
2422,Le Sergent Recruteur,"4,6"
2423,Signature,"4,7"
2424,Solstice,"4,8"
2425,Pastis Restaurant,"4,8"
2426,Les Trois Rochers,"4,8"
2427,Le Charlemagne,"4,7"
2428,Holen,"4,2"
2429,Le Restaurant du Cerisier,"4,4"
2430,La Maison dans le Parc,"4,7"
2431,Le 7ème Continent,"4,6"
2432,L'Aspérule,"4,7"
2433,La Galinette,"4,6"
2434,La Tour des Vents,"4,6"
2435,Les Fresques - Château des Vigiers,"4,6"
2436,Äponem - Auberge du Presbytère,"4,7"
2437,Hostellerie de Levernois,"4,7"
2438,La Grange de Belle-Église,"4,7"
2439,Intuition,"4,7"
2440,L'Or Bleu,"4,7"
2441,Ursus,"4,8"
2442,Origines,"4,8"
2443,Le Bénaton,"4,2"
2444,Le Pot d'Étain,"4,6"
2445,OKA,"4,6"
2446,Haut Bonheur de la Table,"4,9"
2447,La Sommelière,"4,9"
2448,Auberge Grand'Maison,"4,8"
2449,Moulin de la Tardoire,"4,7"
2450,La Mutinerie,"4,8"
2451,Auberge Nicolas Flamel,"4,6"
2452,Auberge de la Tour,"4,6"
